wifi,X,Y,parents,ID,restored_x,restored_y,children,activated
66,13.949,16.375,N,real,13.949,16.375,N,1
96,62.374,59.313,N,real,62.374,59.313,N,1
105,142.814,97.329,N,real,142.814,97.329,11893:,1
33,194.916,125.425,N,real,194.916,125.425,249:61943:26249:11063:,1
99,239.844,158.207,N,real,239.844,158.207,86261:79845:75551:17847:84304:32909:94923:78933:71324:30257:15550:88954:18469:82715:83994:59870:51402:36691:71252:119:63090:65926:68207:15550:,1
5,287.395,193.229,N,real,287.395,193.229,8668:39619:62954:48178:56828:25738:14362:17885:683:99596:21067:36355:7084:63100:28364:63191:84732:24746:61793:73756:50829:23074:1197:3452:78560:25552:60138:21045:67847:32529:16426:36298:73954:81888:11703:76635:85438:94240:,1
95,323.59,208.748,N,real,323.59,208.748,79448:53885:41484:7882:66309:70527:68352:9981:83917:90554:73965:94370:39074:28207:81670:90672:91945:62749:,1
88,376.773,212.234,N,real,376.773,212.234,54450:,1
19,102.488,48.308,N,real,102.488,48.308,N,1
22,205.899,103.487,N,real,205.899,103.487,N,1
120,279.519,149.801,N,real,279.519,149.801,59343:89097:69595:3345:87046:91587:2920:91011:65042:8114:26654:26790:78525:58685:70642:,1
67,370.983,159.94,N,real,370.983,159.94,N,1
92,381.397,63.134,N,real,381.397,63.134,N,1
49,310.951,262.358,N,real,310.951,262.358,N,1
101,257.355,270.201,N,real,257.355,270.201,N,1
84,254.126,241.349,N,real,254.126,241.349,N,1
4,276.312,228.59,N,real,276.312,228.59,59496:,1
32,239.106,185.931,N,real,239.106,185.931,78445:46886:36152:24458:67438:,1
13,399.251,216.457,N,real,399.251,216.457,N,1
56528,272.0,168.0,5:22:95,virtual,263.17,177.01,43861:89336:55296:30170:58231:78785:38839:28510:61581:8649:85535:55318:98362:25540:8444:80036:97101:78304:32378:51320:58031:3509:28510:45995:58582:19897:47807:87748:56835:3909:5560:77427:44480:95691:47184:82110:5443:21259:25139:53674:58848:95686:27925:83125:29204:33163:1227:25500:35934:96036:76442:83743:83144:1087:62837:98554:22042:74525:67821:93742:41888:63895:18173:8196:80959:88603:89967:82388:21877:1818:12497:65979:498:82939:7974:52600:63993:40527:96355:6017:81267:94982:70630:20399:63187:94714:32954:10090:,1
68146,272.0,231.0,101:5,virtual,272.979,230.361,N,1
21019,290.0,239.0,101:95,virtual,290.842,240.474,N,1
7513,272.0,202.0,99:84:95,virtual,268.562,205.911,39799:52895:68177:90346:74183:55862:64902:,1
38646,248.0,214.0,99:101,virtual,255.017,208.227,93099:19076:43529:,1
19605,317.0,241.0,88:101,virtual,318.762,234.171,61809:78541:29326:96543:35929:,1
58941,270.0,217.0,84:5,virtual,269.603,216.159,46515:5263:,1
53791,315.0,226.0,88:84,virtual,313.67,231.954,N,1
84561,259.0,167.0,33:95,virtual,253.54,169.247,76704:75584:99800:34936:88757:13658:33362:6650:40303:88593:45086:97991:83265:66040:58079:16759:2774:73788:73565:26001:81967:26345:26024:58911:95624:47823:90391:38715:21056:32561:93811:43161:58724:34871:73251:54233:78291:15383:18646:86572:71096:60497:2519:20391:94007:32561:50727:5008:81522:13662:23366:63882:42254:63408:48167:42056:44006:91523:2540:,1
94758,200.0,114.0,33:22,virtual,202.551,111.363,74141:,1
77713,281.0,159.0,99:13:22,virtual,284.986,152.808,9753:60915:53868:87650:57089:84119:88613:56025:54056:,1
6970,299.0,227.0,49:5,virtual,301.553,226.935,25965:58196:,1
79368,241.0,137.0,120:99:22,virtual,242.392,134.598,32029:24856:80498:97100:13552:40101:36385:62227:84864:49857:7373:90273:74087:78585:1340:65903:7707:68718:27398:13408:65002:88548:36577:65124:83308:,1
886,213.0,129.0,33:99:22,virtual,216.992,130.22,86812:91015:91380:11112:16667:89944:15598:56766:18780:6977:69742:38505:57260:50205:93136:33764:75745:83456:6662:74697:36295:53779:61714:10944:84232:21763:24935:72191:97956:25495:56430:96383:93998:98044:47227:13506:17602:37925:,1
84238,290.0,169.0,88:5:22,virtual,293.252,166.883,58151:47939:62846:54145:28203:68182:24943:74906:49910:27372:25755:72013:68662:33271:,1
80412,366.0,212.0,88:13:95,virtual,362.972,211.453,63439:39276:25196:90887:95974:45204:2227:41275:63439:38714:14957:,1
29193,305.0,200.0,5:95,virtual,299.242,195.278,2698:32010:30338:31319:95470:91473:49960:53896:37497:81233:59968:98016:,1
56652,350.0,210.0,88:95,virtual,347.233,210.05,52276:40291:11059:56496:1573:29265:43347:24347:1644:43595:30285:,1
83397,264.0,156.0,22:95,virtual,256.201,151.742,47940:45901:23418:85468:83323:71733:49614:87211:14457:92500:41271:95179:21120:33310:91062:81252:8966:49793:27863:87712:74326:32368:68425:21736:41692:18741:66496:31770:54174:71184:82390:,1
929,246.0,148.0,5:22,virtual,248.338,138.117,21305:97338:86645:54245:4073:70357:19588:68774:81830:84379:73726:8410:20407:87907:87140:,1
25509,343.0,204.0,13:5,virtual,342.238,205.594,77264:14280:86736:64509:,1
26562,308.0,185.0,88:99,virtual,304.946,184.788,18450:32244:14538:87557:99255:58491:33628:34690:65740:29214:36515:54244:28170:13511:,1
60938,319.0,187.0,99:13,virtual,306.078,181.726,22612:23728:94696:62473:70088:80325:59675:18382:33914:84002:14105:94285:3479:45215:62473:,1
10375,307.0,221.0,49:5:95,virtual,303.034,220.186,61371:,1
94670,307.0,199.0,32:88,virtual,309.789,205.728,41552:43968:14488:23601:5391:40785:80740:63510:16099:96179:90337:81070:16403:15265:60577:80658:54117:47268:7088:38942:25039:11747:,1
60685,239.0,172.0,32:99,virtual,233.788,176.485,N,1
36107,388.0,214.0,88:13,virtual,389.688,214.526,N,1
30650,282.0,251.0,49:84,virtual,284.759,248.203,N,1
8107,302.0,174.0,88:22:95,virtual,302.782,177.268,43363:38584:31265:4859:21843:12082:,1
14112,301.0,187.0,88:99:5,virtual,302.353,188.697,56967:52303:33181:52890:65319:86349:63327:53500:50209:5382:1409:58459:65498:37010:,1
98826,291.0,209.0,49:99:95,virtual,288.446,211.872,70937:88518:9194:90773:83090:2207:50252:57687:92201:,1
12376,281.0,183.0,99:95,virtual,273.541,183.542,19917:66553:6942:87360:7657:26105:83198:61520:19892:63239:72330:78715:53599:838:34722:42614:46188:35083:17736:12171:98344:29890:82825:32977:70714:45948:63307:20957:53568:87103:23982:33498:71033:99149:58678:9924:1936:50620:42434:31352:5365:63558:59627:45250:38776:81995:48717:28066:56701:62853:77059:19981:76834:41963:9444:32971:94091:79773:60068:70497:60854:22740:77678:63644:42049:97570:18584:84762:79389:35986:21665:9578:57052:7617:86383:96936:,1
43315,291.0,157.0,88:22,virtual,289.702,155.541,28233:43315:78270:66921:,1
70471,332.0,202.0,88:5,virtual,339.156,200.382,24790:86321:5711:99712:6462:57285:75676:5711:,1
88624,309.0,176.0,13:22:95,virtual,304.882,179.465,68679:98585:86457:29086:,1
15246,263.0,189.0,32:5,virtual,266.015,190.376,30702:68379:54793:49955:37256:68197:65606:57815:97249:5501:39896:16045:3812:76070:86350:89008:25169:87008:83963:,1
19167,352.0,135.0,92:95,virtual,351.884,138.08,67532:61399:37898:,1
33532,222.0,144.0,32:22,virtual,222.971,147.01,33895:43679:32910:86096:23108:94098:74239:29362:7597:42860:61638:15062:67304:34328:67690:26427:75576:20423:16825:95046:12641:10461:41312:26584:69078:46711:85441:18472:48225:80047:69305:72474:94545:23397:53113:94098:1067:2866:,1
69657,297.0,171.0,5:13:22,virtual,295.606,173.922,23136:82769:64918:87978:99083:81740:4965:86657:1569:71874:14012:96575:91146:73770:,1
81689,343.0,237.0,88:49,virtual,342.284,235.228,7768:7768:,1
30847,242.0,126.0,120:22,virtual,241.499,125.514,N,1
40860,255.0,255.0,84:101,virtual,252.303,260.983,N,1
12870,279.0,204.0,49:99:5,virtual,273.745,211.032,41682:46369:55889:83344:48338:,1
39253,217.0,141.0,33:99,virtual,213.369,138.991,61400:6125:29269:58708:43776:5884:16802:72946:,1
48738,168.0,111.0,33:105,virtual,172.199,111.308,32190:70703:2898:48970:28836:47499:,1
37680,226.0,126.0,120:33:22,virtual,231.048,125.27,44085:32934:28659:2124:48646:85390:59923:84825:12637:77074:,1
39412,244.0,160.0,32:5:22,virtual,244.948,162.321,64923:73923:56416:25937:66315:21004:83790:72303:34879:90035:42625:34606:65974:42017:12991:71800:18183:9563:,1
94349,224.0,156.0,32:33:99,virtual,220.826,151.867,36266:51587:44519:46207:72799:31418:,1
50356,338.0,178.0,49:92:95,virtual,340.7,181.672,10310:10123:52441:63987:88640:29379:43717:76418:11886:55221:3082:,1
3195,334.0,128.0,92:5,virtual,351.207,131.57,84187:14671:85502:,1
21332,346.0,162.0,49:92,virtual,349.637,164.698,44138:64808:84221:,1
40015,336.0,206.0,5:13:95,virtual,335.464,209.478,7360:17913:86036:37688:45017:64980:5523:6304:,1
90237,217.0,155.0,32:33,virtual,218.561,155.067,77311:,1
80120,284.0,266.0,49:101,virtual,286.373,264.865,N,1
59782,289.0,224.0,5:101:95,virtual,281.103,222.601,43966:79506:43492:,1
10921,296.0,183.0,120:5:95,virtual,298.542,180.289,3253:67649:30392:25052:87830:98097:77080:89246:86426:16187:19294:75612:,1
73304,360.0,161.0,88:92:95,virtual,360.502,163.991,77739:,1
65967,274.0,257.0,49:84:101,virtual,277.315,262.798,73292:,1
43362,356.0,179.0,88:49:92,virtual,344.595,175.542,11100:23433:66322:92790:,1
24124,379.0,137.0,88:92,virtual,380.058,139.488,15441:,1
25934,306.0,215.0,88:84:5,virtual,303.921,217.527,35862:,1
91130,237.0,153.0,32:33:120,virtual,233.022,153.415,92573:22906:59809:56792:15960:65408:55557:99811:35063:71467:33033:98933:97172:23388:73325:28222:82021:36213:88089:3706:79762:51257:12608:39101:42264:89642:81478:37774:99067:,1
59350,257.0,148.0,120:5:22,virtual,259.065,147.524,32603:44832:51873:49499:99892:80970:49778:43318:56580:,1
89026,215.0,145.0,105:5,virtual,210.584,143.939,37082:95325:,1
29811,211.0,123.0,120:105,virtual,211.572,116.147,59462:34660:76881:54573:52220:94319:80864:46120:34962:1254:65217:62825:,1
52105,326.0,190.0,88:120:95,virtual,337.42,188.101,9070:26129:38218:34231:12159:92681:25995:40181:39408:39006:1373:,1
50073,230.0,172.0,84:22,virtual,229.198,168.632,40456:,1
20467,226.0,179.0,49:105,virtual,222.648,180.401,N,1
53986,196.0,119.0,105:99:22,virtual,198.866,118.313,94458:38882:38452:25066:99042:76811:59619:34614:23813:83813:,1
2514,246.0,199.0,99:84,virtual,246.269,200.091,N,1
75753,205.0,124.0,120:105:33,virtual,197.616,127.354,65369:63380:44714:82892:9535:43515:,1
65008,253.0,156.0,120:33:5,virtual,250.837,157.263,16834:97587:9979:83374:47390:85680:97174:72163:5893:31534:36476:48376:15891:43569:39955:26677:96558:56681:54232:5997:62332:85196:66743:8317:14940:60605:68828:24535:41306:48376:8317:16180:63941:11829:84197:48770:23268:,1
88543,275.0,224.0,32:49,virtual,272.511,221.038,N,1
61939,38.0,37.0,96:66,virtual,35.471,35.856,N,1
10551,190.0,141.0,32:105,virtual,189.811,140.721,N,1
30503,355.0,239.0,49:13,virtual,347.233,231.47,N,1
52320,272.0,199.0,56528:68146,v_virtual,265.934,202.619,52320:50990:,1
29641,294.0,201.0,56528:61809,v_virtual,295.831,199.53,27431:49116:50680:87129:64254:86705:,1
71813,291.0,215.0,56528:49,v_virtual,294.565,214.523,34406:29237:,1
92638,335.0,192.0,56528:13,v_virtual,337.035,194.274,22055:77699:91019:62427:55525:60080:54303:58647:45813:61782:50671:95239:91984:11543:24474:14244:38445:79139:,1
53703,341.0,216.0,88:10375,v_virtual,341.921,209.634,65361:53190:37398:43714:,1
61695,308.0,231.0,61809:6970,v_virtual,304.068,229.591,315:,1
85873,263.0,204.0,56528:84,v_virtual,264.143,205.369,27233:97419:,1
68447,289.0,187.0,75584:95,v_virtual,294.046,186.564,22949:45199:73157:27103:34351:80599:97425:17506:14074:73813:56083:27715:93707:30697:57823:72505:18010:73289:1896:98467:59002:4007:40107:51807:68275:88450:69982:30114:,1
64340,295.0,203.0,8668:10375,v_virtual,292.873,204.894,68549:61029:52151:32520:19717:11101:,1
49407,220.0,125.0,79368:94758,v_virtual,221.105,119.973,11652:32999:,1
84545,234.0,162.0,32:33895,v_virtual,234.423,166.563,91894:80274:,1
41519,241.0,190.0,84:33895,v_virtual,240.376,190.296,N,1
14665,300.0,210.0,61809:8668,v_virtual,297.421,215.607,63059:69586:,1
10875,282.0,258.0,49:40860,v_virtual,281.266,263.832,N,1
2184,184.0,112.0,48738:94758,v_virtual,185.207,118.61,67371:25243:17387:25831:76874:95382:96133:21558:60415:,1
34825,368.0,197.0,50356:13,v_virtual,370.983,196.328,20595:281:12274:,1
30340,375.0,175.0,13:19167,v_virtual,374.094,172.594,66423:,1
45934,336.0,153.0,7768:92:84238,v_virtual,353.114,155.022,29145:68442:,1
48756,364.0,173.0,88:19167,v_virtual,370.983,179.262,N,1
32666,234.0,134.0,94758:59343,v_virtual,240.449,129.276,38638:123:48748:,1
78472,265.0,213.0,56528:40860:58941,v_virtual,261.914,216.256,35107:,1
85842,338.0,237.0,49:80412,v_virtual,339.995,239.67,N,1
51180,282.0,132.0,886:19167,v_virtual,273.596,142.477,N,1
20314,359.0,145.0,7768:92,v_virtual,353.63,145.073,N,1
1969,264.0,204.0,32:59782,v_virtual,264.693,203.237,N,1
45521,253.0,142.0,37680:77713,v_virtual,255.137,140.236,41274:98108:29896:,1
92467,299.0,172.0,56528:10310,v_virtual,298.583,174.49,4039:65970:2266:,1
33471,341.0,223.0,61809:80412,v_virtual,346.414,220.501,14384:19970:64222:84999:81535:11575:,1
31957,363.0,186.0,73304:80412,v_virtual,367.109,189.263,3508:27964:,1
2224,312.0,151.0,56528:19167,v_virtual,292.512,160.225,44465:77554:34277:43959:,1
62585,291.0,222.0,79448:84,v_virtual,285.44,216.278,N,1
85391,331.0,166.0,79448:3195,v_virtual,347.193,169.199,46317:96125:,1
13467,312.0,210.0,7768:5,v_virtual,307.614,210.781,72009:64642:4068:46639:85860:,1
74957,296.0,224.0,49:8668,v_virtual,299.489,219.408,N,1
21926,263.0,211.0,56528:40860,v_virtual,261.236,210.021,47266:94568:,1
61458,263.0,194.0,78445:12870,v_virtual,259.506,196.964,86199:,1
97130,264.0,199.0,58941:43861,v_virtual,264.577,200.838,41428:,1
44284,282.0,209.0,61809:78445,v_virtual,280.749,214.236,91687:18613:81146:,1
89930,252.0,183.0,43861:78445,v_virtual,247.361,193.392,41001:3375:68887:97553:,1
43724,326.0,115.0,56528:92,v_virtual,351.993,125.531,N,1
40458,262.0,236.0,40860:58941,v_virtual,259.282,236.454,N,1
46548,254.0,201.0,93099:15246,v_virtual,250.817,201.831,N,1
97342,258.0,215.0,84:15246,v_virtual,258.781,213.446,N,1
49729,327.0,235.0,40860:13,v_virtual,326.689,238.012,64537:,1
59521,276.0,234.0,6970:84,v_virtual,277.165,234.213,54355:58684:58684:95544:,1
53925,269.0,260.0,80120:40860,v_virtual,275.066,264.683,N,1
57299,199.0,131.0,75584:105,v_virtual,195.119,131.075,N,1
80918,271.0,224.0,40860:5,v_virtual,270.508,222.104,N,1
72131,264.0,236.0,7513:101,v_virtual,267.25,233.225,N,1
29728,287.0,252.0,61809:101,v_virtual,289.092,249.828,N,1
18538,212.0,141.0,105:8668,v_virtual,211.594,141.393,N,1
43190,285.0,238.0,61809:84,v_virtual,284.216,236.645,7310:,1
49773,206.0,157.0,105:58941,v_virtual,206.842,155.117,N,1
45130,215.0,149.0,249:60685,v_virtual,210.732,148.125,65154:65154:,1
22441,277.0,202.0,78445:10375,v_virtual,271.617,208.929,8530:,1
76350,279.0,209.0,48178:88543,v_virtual,276.735,213.986,N,1
36715,283.0,215.0,25965:39799,2_virtual,283.721,215.043,64657:44000:,1
53810,265.0,220.0,68177:84,2_virtual,265.242,218.679,57045:,1
66748,240.0,178.0,19076:61638,2_virtual,234.819,180.374,N,1
46799,264.0,197.0,95691:46515,2_virtual,261.77,199.201,N,1
95653,254.0,197.0,95624:97342,2_virtual,253.235,196.647,10761:,1
40376,233.0,163.0,105:29326,2_virtual,232.022,166.358,N,1
60872,275.0,244.0,29728:72131,2_virtual,280.995,236.462,N,1
88035,255.0,201.0,97587:84,2_virtual,253.079,204.706,88035:,1
65023,269.0,212.0,14074:84,2_virtual,271.999,212.799,74373:,1
58968,215.0,156.0,32:249,2_virtual,215.656,159.45,N,1
47903,241.0,195.0,58684:49773,2_virtual,240.061,195.688,N,1
55648,196.0,138.0,95624:105,2_virtual,192.341,136.632,N,1
